URUT,R101,R102,R105,FOOD,NONFOOD,EXPEND,KAPITA,KALORI_KAP,PROTE_KAP,LEMAK_KAP,KARBO_KAP,R1802,R1810A,R2001B,R2001C,R2001D,R2001F,R2001G,R2001H,R2001K,R2001M,Banyak_Anak
515369,32,76,1,1762542.857142857,1142666.666666666,2905209.523809523,581041.9047619047,1713.380591836734,48.64538979591837,33.10142448979591,260.9369999999999,3,4,5,5,5,5,5,1,5,5,3
515381,32,76,1,2884285.714285715,1633520.749999999,4517806.464285714,1505935.488095238,2305.565425170068,77.44172789115648,57.98970068,338.1691428571427,1,4,1,5,5,5,5,1,5,1,1
515397,32,76,1,8150571.428571424,18042333.33333333,26192904.76190476,6548226.19,1988.640408163264,62.95713010204082,58.71718367346938,276.4916785714286,1,1,1,1,1,1,1,1,1,1,2
515399,32,76,1,686657.1428571428,1269916.666666666,1956573.809523809,1956573.809523809,2058.344694,74.13551020408163,33.46148979591836,309.3887142857142,1,4,5,5,5,5,5,5,5,1,0
515456,32,76,1,2808171.428571429,1951333.333333332,4759504.761904762,2379752.380952381,1793.601428571428,53.48157142857143,58.29799999999999,234.9770714285713,1,4,1,5,5,5,5,5,5,1,0
515525,32,76,1,1284857.142857142,990583.3333333333,2275440.476190475,1137720.238095237,2992.436633,89.82093367346938,51.41681632653061,433.1372142857143,2,5,1,5,5,5,5,1,5,5,0
515660,32,76,1,1834285.714285714,1774583.333333333,3608869.047619047,1804434.523809523,2982.584642857142,86.79532142857144,87.63921428571427,360.6328928571428,1,2,1,5,5,5,1,1,5,1,1
515670,32,76,1,4014857.142857142,3589666.666666666,7604523.809523809,2534841.27,2127.998095238095,68.79464285714285,55.21557142857142,267.9585952380951,1,4,1,5,5,1,5,1,5,1,2
515680,32,76,1,2125714.285714286,3047583.333333332,5173297.619047619,5173297.619047619,3746.805081632653,122.5635306122448,117.1742551020408,455.6365000000001,1,1,1,5,5,5,1,5,5,1,0
515684,32,76,1,4081585.714285714,13915000,17996585.71428572,8998292.857,2212.550878,73.83915306,59.53237755102042,234.3429285714285,1,1,1,1,5,1,1,1,1,1,1
515696,32,76,1,5637428.571428569,9174583.333333332,14812011.9,2962402.381,1791.054306122448,54.45918979591838,53.00256734693878,229.2692285714285,1,1,1,1,5,1,1,1,1,1,1
515748,32,76,1,3414428.571,8009666.666666665,11424095.23809523,5712047.619047617,2395.402806122448,79.63566836734695,60.18683163265306,276.88475,1,4,1,1,5,5,1,1,1,1,0
515780,32,76,1,1032857.142857142,2417083.333333333,3449940.476190476,492848.6394557823,1040.584832361515,24.12720116618076,18.01028863,151.4722040816326,1,4,1,5,5,5,5,1,5,1,5
515803,32,76,1,2104114.285714285,1296000,3400114.285714286,485730.6122,1427.533396501457,42.77039358600581,30.07340233236151,220.8316612244897,1,4,1,5,5,5,5,5,5,1,5
515810,32,76,1,1171285.714285714,766750,1938035.714285714,646011.9047619047,1897.997619047618,54.57952380952381,30.84895238095238,337.439619,1,2,5,5,5,5,5,5,5,1,1
515863,32,76,1,1429714.285714286,1994500,3424214.285714286,3424214.285714286,3102.672642857141,95.09271428571428,61.66435714285713,496.6973571428571,1,4,1,5,5,5,5,5,5,1,0
